"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","mean"
"274","wv.439",2.1,0.18,3.31,0.78,0.12,0.12,0.94,0.11,2.57,1.14
"275","wv.527",0.56,0.34,0.35,6.03,0.86,0.55,0.58,0.33,0.69,1.14
"276","wv.888",5.88,0.12,0.38,2.06,0.35,0.47,0.1,0.87,0,1.14
"277","wv.476",0.82,0.03,0.54,4.73,0.76,0.31,0.22,2.4,0.45,1.14
"278","wv.384",0.59,0.33,1.58,0.8,3.67,0.38,0.28,1.3,1.37,1.14
"279","wv.551",1.54,2.33,3.44,1,0.33,0.98,0.21,0,0.31,1.13
"280","wv.765",0.18,0.06,2.03,2.36,4.17,0.37,0.37,0.38,0.25,1.13
"281","wv.323",0.14,0.06,0.33,1.23,2.45,1.31,0.59,0.23,3.81,1.13
"282","wv.590",0,0.16,0.47,5.03,0.79,1.05,0.99,0.93,0.71,1.13
"283","wv.965",0.7,0.11,0,0.79,2.38,1.48,1.29,3.01,0.29,1.12
"284","wv.36",1.95,0.05,2.05,1.23,0.48,0.14,1.26,0.61,2.3,1.12
"285","wv.57",1.76,0.22,1.15,3.14,0.25,0.46,0.05,2.41,0.61,1.12
"286","wv.897",1.32,0.07,0.64,1.64,3.82,0.47,0.39,1.39,0.35,1.12
"287","wv.475",1.98,0.44,0.48,0.64,0.39,1.74,0.25,0.17,3.98,1.12
"288","wv.21",0.15,0.3,2.46,1.07,0.34,0.35,3.17,1.68,0.56,1.12
"289","wv.341",0.43,0.14,0.59,2.53,0.73,0.06,0.08,1.36,4.14,1.12
"290","wv.187",0.5,0.13,1.63,1.36,3.68,0.76,1.45,0.51,0.06,1.12
